STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        757;19910101;19911231;   10;  4.79;   8.90;   13.56;    5.10;    1.65; 1872.60;-999;  33.2; -15.4;    9;   964.6;   56.0;eor
        757;19920101;19921231;   10;  4.79;   9.74;   14.47;    5.96;    1.71; 1682.60;-999;  33.4; -11.9;    9;  1065.3;   39.3;eor
        757;19930101;19931231;   10;  5.34;   9.11;   13.60;    5.48;    1.79; 1643.40;-999;  31.2; -12.2;    9;   972.8;   27.8;eor
        757;19940101;19941231;   10;  5.45;  10.46;   14.95;    6.89;    1.75; 1578.90;-999;  32.1;  -8.9;    9;  1336.1;   59.5;eor
        757;19950101;19951231;   10;  5.19;   9.42;   13.87;    5.79;-999; 1612.90;-999;  32.4; -12.6;    9;  1423.0;   62.6;eor
        757;19960101;19961231;   10;  -999;   8.15;   12.47;    4.67;-999; 1772.00;-999;  29.4; -15.8;    9;  1099.8;   55.7;eor
        757;19970101;19971231;   10;  4.51;   9.67;   14.40;    5.91;    1.41; 1987.60;-999;  29.9; -13.4;    9;  1023.6;   38.4;eor
        757;19980101;19981231;   10;  4.77;   9.39;   14.15;    5.73;    1.81; 1774.70;-999;  33.9; -10.1;    9;  1085.4;   39.1;eor
        757;19990101;19991231;   10;  5.19;   9.65;   14.15;    6.06;    1.70; 1665.00;-999;  31.0; -13.0;    9;  1454.3;   68.3;eor
        757;20000101;20001231;   10;  5.07;  10.47;   15.16;    6.72;    1.53; 1808.20;-999;  30.9; -13.2;    9;  1203.1;   90.5;eor
        757;20010101;20011231;   10;  5.08;   9.73;   14.15;    6.10;    1.56; 1759.00;-999;  32.7; -14.0;    9;  1372.0;   34.3;eor
        757;20020101;20021231;   10;  5.09;  10.15;   14.59;    6.51;    1.54; 1692.30;-999;  32.8; -10.3;    9;  1348.7;   43.2;eor
        757;20030101;20031231;   10;  -999;   9.57;   14.88;    5.34;-999; 2131.40;-999;  37.0; -14.5;    9;   835.6;   34.3;eor
        757;20040101;20041231;   10;  5.26;   9.27;   13.73;    5.19;    1.34; 1554.00;-999;  29.3; -10.8;    9;  1009.9;   37.2;eor
        757;20050101;20051231;   10;  4.87;   9.28;   13.94;    5.10;    1.26; 1737.50;-999;  33.2; -15.0;    9;   972.8;   32.4;eor
        757;20060101;20061231;   10;  4.46;   9.98;   14.74;    5.70;    1.41; 1832.40;-999;  33.4; -12.2;    9;  1253.0;   59.2;eor
        757;20070101;20071231;   10;  4.52;  10.15;   14.87;    5.83;    1.53; 1839.10;-999;  33.0;  -9.9;    9;  1136.4;   37.0;eor
        757;20080101;20081231;   10;  4.65;   9.67;   14.27;    5.53;    1.40; 1575.80;-999;  31.1;  -7.4;    9;  1169.0;   59.1;eor
        757;20090101;20091231;   10;  4.55;   9.86;   15.00;    5.48;    1.30; 1662.30;-999;  33.6; -18.0;    9;  1093.1;   37.6;eor
        757;20100101;20101231;   10;  5.01;   8.64;   13.21;    4.54;    1.26; 1554.50;-999;  34.5; -12.4;    9;  1133.0;   49.1;eor
        757;20110101;20111231;   10;  4.09;  10.42;   15.55;    5.88;    1.30; 2013.90;-999;  33.6;  -9.0;    9;  1111.3;   39.0;eor
        757;20120101;20121231;   10;  -999;   9.78;   14.71;    5.38;-999; 1791.10;-999;  35.3; -15.9;    9;  1291.8;   39.5;eor
        757;20130101;20131231;   10;  -999;   9.26;   13.69;    5.36;-999; 1511.00;-999;  35.9; -11.5;    9;  1272.6;   61.7;eor
        757;20140101;20141231;   10;  -999;  10.92;   15.81;    6.71;-999; 1703.80;-999;  33.7; -11.8;    9;  1110.8;   73.2;eor
        757;20150101;20151231;   10;  -999;  10.75;   15.95;    6.10;-999; 1874.30;-999;  36.9;  -8.3;    9;   923.1;   85.0;eor
        757;20160101;20161231;   10;  -999;   9.90;   14.76;    5.70;-999; 1634.40;-999;  33.4; -10.9;    9;  1141.6;   52.9;eor
        757;20170101;20171231;    3;  -999;  10.09;   15.22;    5.61;-999; 1907.65;-999;  31.8; -15.0;    9;  1126.9;   33.6;eor
        757;20180101;20181231;    3;  -999;  11.04;   16.27;    6.48;-999; 2004.21;-999;  34.6; -12.9;    9;   847.3;   31.0;eor
        757;20190101;20191231;    3;  -999;  10.61;   15.66;    6.09;-999; 1913.72;-999;  35.8;  -6.5;    9;  1113.2;   43.5;eor
        757;20200101;20201231;    3;  -999;  11.30;   16.67;    6.57;-999;-999;-999;  35.3;  -5.8;    3;  1026.0;   54.3;eor
